,name_product,color,description,cloth_path,material,price,rates,url
10,Dill Eyes Short Sleeve Tee,Black,"Using imagination, wit and a strong point of view, Jason Dill's built a lasting legacy in skateboarding. The Dill Eyes Short Sleeve Tee mixes his signature collage aesthetics and subversive approach with 3-Stripes iconography.   We partner with Better Cotton to improve cotton farming globally. Better Cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.    Better Cotton is sourced via a chain-of-custody model called mass balance. This means that Better Cotton is not physically traceable to end products. However, Better Cotton Farmers benefit from the demand for Better Cotton in equivalent volumes to those we ""source.""   Find out more here: bettercotton.org/learnmore",Cloth/000025_1.jpg,100% cotton single jersey,$120,5.0,https://www.adidas.com/us/dill-eyes-short-sleeve-tee/II5953.html
11,Arsenal Tiro 23 Training Jersey,Pulse Blue,"Smart coaching and hard work can solve every soccer problem. But it also helps to have comfortable, movement-focused adidas gear to pull on at the training ground. This Arsenal training jersey keeps players confident and comfortable during sessions with moisture-wicking AEROREADY, mesh inserts and a slim fit. A heat-transferred badge on the chest is a reminder to keep your standards high.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000027_1.jpg,100% recycled polyester interlock,$50,4.9,https://www.adidas.com/us/arsenal-tiro-23-training-jersey/IP9160.html
12,Messi #10 Inter Miami CF 23/24 Away Authentic Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this Inter Miami CF authentic jersey from adidas enchants with pink details and an undulating graphic. Created to keep soccer players at full speed, it combines lightweight fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto.",Cloth/000029_1.jpg,Front and sleeves: 100% recycled polyester tricot,$180,4.9,https://www.adidas.com/us/messi-10-inter-miami-cf-23-24-away-authentic-jersey/JE9700.html
13,Tiro Track Top,Black,"Mingling with the game day crowds or just meeting up with friends, this adidas Tiro track top makes a comfortable outer layer. Soft, lightweight and cut for a relaxed fit, it zips up easily over a long sleeve tee or sweater. Stow your phone, cards and keys, and you're ready to hit the street or the stands.   Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000034_1.jpg,"70% recycled polyester, 30% cotton interlock",$65,4.7,https://www.adidas.com/us/tiro-track-top/IM2894.html
14,Messi #10 Inter Miami CF 23/24 Away Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this adidas Inter Miami CF away jersey enchants with pink details and an undulating graphic. Created to keep soccer fans comfortable, it combines smooth fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000035_1.jpg,100% recycled polyester interlock,$120,4.9,https://www.adidas.com/us/messi-10-inter-miami-cf-23-24-away-jersey/JE9704.html
15,Ultimate Long Sleeve Tee,Shadow Violet F23,"This adidas long sleeve running t-shirt makes chilly-weather workouts feel better. It layers comfortably under a jacket thanks to the slim fit, or you can wear it on its own. Either way, it keeps you warm with its mock-neck design and thumbhole cuffs. Moisture-wicking AEROREADY helps you stay dry, and mesh on the sleeves and sides adds a breathable feel to every mile.  Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000039_1.jpg,"Main: 93% recycled polyester, 7% elastane single jersey",$75,5.0,https://www.adidas.com/us/ultimate-long-sleeve-tee/IM4200.html
16,Adicolor Classics 3-Stripes Tee,Better Scarlet S23,Meet your new favorite tee. This classic adidas t-shirt boasts a slim fit and a contrast hem for some refined vintage vibes. Pair it with your favorite dark denim for an effortlessly classic look. It's made of super-soft cotton to keep you comfortable.  Our cotton products support more sustainable cotton farming.,Cloth/000040_1.jpg,100% cotton single jersey,$35,4.8,https://www.adidas.com/us/adicolor-classics-3-stripes-tee/IA4852.html
17,Inter Miami CF 22/23 Home Jersey,True Pink / Black,"Proud to represent. In 22/23, pink dominates Inter Miami CF's home kit for the first time. Teamed with a polo collar, the ocean sunset hues help this adidas soccer jersey shine. Created with fans in mind, its mesh inserts and moisture-absorbing AEROREADY will keep you as relaxed as an evening on the beach.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000041_1.jpg,100% recycled polyester interlock,$90,4.7,https://www.adidas.com/us/inter-miami-cf-22-23-home-jersey/IB5027.html
18,Inter Miami CF 22/23 Home Jersey,True Pink / Black,"Proud to represent. In 22/23, pink dominates Inter Miami CF's home kit for the first time. Teamed with a polo collar, the ocean sunset hues help this adidas soccer jersey shine. Created with fans in mind, its mesh inserts and moisture-absorbing AEROREADY will keep you as relaxed as an evening on the beach.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000865_1.jpg,100% recycled polyester interlock,$90,4.7,https://www.adidas.com/us/inter-miami-cf-22-23-home-jersey/IB5027.html
19,Arsenal DNA Track Top,Collegiate Navy,"Show you're a Gunner through and through. A woven club badge takes pride of place on the chest of this adidas Arsenal track top. Ideal for zipping up over your soccer jersey, it'll keep you comfortable with soft fabric.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000042_1.jpg,100% recycled polyester tricot,$80,4.2,https://www.adidas.com/us/arsenal-dna-track-top/HZ2044.html
20,Messi #10 Inter Miami CF 22/23 Home Jersey,True Pink / Black,"Proud to represent. In 22/23, pink dominates Inter Miami CF's home kit for the first time. Teamed with a polo collar, the ocean sunset hues help this adidas soccer jersey shine. Created with fans in mind, its mesh inserts and moisture-absorbing AEROREADY will keep you as relaxed as an evening on the beach. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000043_1.jpg,100% recycled polyester interlock,$120,4.8,https://www.adidas.com/us/messi-10-inter-miami-cf-22-23-home-jersey/JE9701.html
21,Inter Miami CF 23/24 Away Authentic Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this Inter Miami CF authentic jersey from adidas enchants with pink details and an undulating graphic. Created to keep soccer players at full speed, it combines lightweight fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto.",Cloth/000048_1.jpg,Front and sleeves: 100% recycled polyester tricot,$150,4.8,https://www.adidas.com/us/inter-miami-cf-23-24-away-authentic-jersey/IC9621.html
22,Tiro Wordmark Track Jacket,Black,"No matter where your day finds you, comfort is key to feeling good as you move through it. This adidas jacket made with moisture-absorbing AEROREADY will keep you dry, comfortable and ready for whatever you've got planned. The full zip and stand-up collar give you versatility and a cozy feel, and front zip pockets hold what you need to carry on with your daily routine.    Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000049_1.jpg,100% recycled polyester doubleknit,$30,4.8,https://www.adidas.com/us/tiro-wordmark-track-jacket/IM2920.html
23,Real Madrid DNA Track Top,White,"Real Madrid is in your DNA. Make sure everyone knows where you stand in this adidas soccer track top. It's made of smooth tricot fabric to keep you comfortable all day long. The embroidered crest lets everyone know you're a true fan.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000050_1.jpg,100% recycled polyester tricot,$80,5.0,https://www.adidas.com/us/real-madrid-dna-track-top/HY0618.html
24,Messi Tee,Black / Mls-Mif-37p,"Messi and Miami. The perfect match. Displaying soccer superstar Lionel Messi's logo and number, this adidas tee is ready for kickoff. Perfect for watching his jaw-dropping play or for hanging out with friends, it's built with single jersey fabric for day-long comfort.",Cloth/000051_1.jpg,100% cotton single jersey,$35,4.9,https://www.adidas.com/us/messi-tee/JG8862.html
25,Adicolor Contempo Tee,Black,"Get yourself a t-shirt with all of the good stuff. We're talking premium organic cotton, casual good looks and iconic adidas style. This tee is so simple you can wear it with anything, and so comfortable that you'll want to wear it with, well, everything.  This tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000053_1.jpg,100% organic cotton single jersey,$40,4.8,https://www.adidas.com/us/adicolor-contempo-tee/HK2890.html
26,Oasis Mesh Polo Shirt,White,"From the first tee through the back nine, you'll feel as good as you look in this adidas golf polo shirt. It's made of soft, stretchy mesh fabric for a lightweight, breathable feel. The oasis-inspired allover print stands out on the course.   Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000054_1.jpg,"92% recycled polyester, 8% elastane mesh",$110,4.9,https://www.adidas.com/us/oasis-mesh-polo-shirt/HZ0437.html
27,Golden Knights Fleece Top,Storm / Black / Nhl-Lvs-5vd,Arrive early at the arena and take in a Vegas Golden Knights pregame skate or go for one of your own in this adidas hockey pullover. The thick fleece will keep you toasty until the action on the ice or your workout heats up. Laser-cut vents out back ensure you stay ventilated.,Cloth/000055_1.jpg,"93% recycled polyester, 7% elastane doubleweave",$60,3.7,https://www.adidas.com/us/golden-knights-fleece-top/IP5814.html
28,Tiro Wordmark Track Jacket,Black / White,"No matter where your day finds you, comfort is key to feeling good as you move through it. This adidas jacket made with moisture-absorbing AEROREADY will keep you dry, comfortable and ready for whatever you've got planned. The full zip and stand-up collar give you versatility and a cozy feel, and front zip pockets hold what you need to carry on with your daily routine.    Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000059_1.jpg,100% recycled polyester doubleknit,$60,4.8,https://www.adidas.com/us/tiro-wordmark-track-jacket/IA3047.html
29,Arsenal 23/24 Long Sleeve Home Jersey,Better Scarlet S23 / White,"They say lightning never strikes twice. And 20 years on, the Gunners remain the only club to finish an English top-flight soccer season undefeated. This adidas Arsenal jersey celebrates a unique anniversary with lightning bolts and gold details. Created for supporters, it'll keep you covered and comfortable with long sleeves and moisture-wicking AEROREADY. An embroidered badge completes the eye-catching look.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000060_1.jpg,100% recycled polyester doubleknit,$110,4.7,https://www.adidas.com/us/arsenal-23-24-long-sleeve-home-jersey/HZ2085.html
30,Z.N.E. Premium Full-Zip Hooded Track Jacket,Arctic Night F23,"Between the hustle and grind is that moment of rest. It's a mental place where you power down and regain balance. This adidas full-zip hoodie was designed to help you get there. Premium four-way stretch material offers ultimate comfort, and moisture-absorbing AEROREADY ensures you stay dry. A Z.N.E. graphic on the back signs off the look. Now throw on some headphones and enjoy the moment of Zen.  A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000061_1.jpg,"56% cotton, 40% recycled polyester, 4% elastane doubleknit",$30,4.8,https://www.adidas.com/us/z.n.e.-premium-full-zip-hooded-track-jacket/IN5087.html
31,Go-To Henley Polo Shirt,Collegiate Navy,"When the pressure is on to drive it straight or sink that birdie putt, stay cool and confident in this adidas golf shirt. The cotton-blend brrr° knit has a triple chill effect thanks to cooling minerals, moisture-wicking fibers and a quick-drying feel that keeps you comfortable as you swing. It's blended with cotton to feel super-soft against your skin, with plenty of stretch for all your moves.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000063_1.jpg,"70% cotton, 30% recycled polyester doubleknit",$100,4.8,https://www.adidas.com/us/go-to-henley-polo-shirt/II7840.html
32,Bienvenido A Miami Tee,White / Mls-Mif-37s,Relax in this classic Messi graphic tee that welcomes the greatest player of all time to Miami. This tee has all the details with the Messi logo and #10 included.,Cloth/000069_1.jpg,100% ringspun cotton single jersey,$35,1.0,https://www.adidas.com/us/bienvenido-a-miami-tee/JE9804.html
33,Train Essentials Feelready Training Tee,Dark Grey Heather / White / Black,"From push press to push-ups, move through a full range of motion in this adidas training t-shirt. It's cut to allow your arms to move freely overhead. Breathable fabric and moisture-absorbing AEROREADY keep you dry and comfortable as your heart rate rises.",Cloth/000071_1.jpg,"70% recycled polyester, 30% cotton single jersey",$90,4.7,https://www.adidas.com/us/train-essentials-feelready-training-tee/IC7444.html
34,Textured Jacquard Golf Polo Shirt,Olive Strata / Black,"A clean look makes for a clean execution. This adidas golf polo shirt has a textured design with subtle style for the course. It's made of breathable, moisture-wicking fabric to keep you comfortable as you swing or walk those long stretches on the fairway.",Cloth/000072_1.jpg,100% recycled polyester raschel,$70,4.7,https://www.adidas.com/us/textured-jacquard-golf-polo-shirt/HS1114.html
35,adidas x Bogey Boys Full-Zip Track Jacket,Altered Blue S22,"Zip up for chilly rounds in this adidas x Bogey Boys golf jacket. Layer it over a polo or tee for cozy comfort on the course. The ribbed cuffs and hem seal in warmth, and front pockets keep your hands toasty between shots. The casual track jacket look gets a boost of style from the Trefoil and the Bogey Boys logo, which deliver a winning look on and off the course.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000073_1.jpg,"74% recycled polyester, 26% viscose terry loop",$150,4.8,https://www.adidas.com/us/adidas-x-bogey-boys-full-zip-track-jacket/IJ3074.html
36,Arsenal Essentials Trefoil Tee,Collegiate Navy / Tribe Yellow,"Celebrate your favorite club in vintage adidas soccer style. This Arsenal tee keeps things classic with its crisp design and embroidered Trefoil. Whether you're going to the match or just chilling with friends, it'll keep things casual and comfortable thanks to its soft cotton construction. A Gunners badge on the front and team name on the back show your commitment in the here and now.",Cloth/000078_1.jpg,100% cotton single jersey,$35,4.0,https://www.adidas.com/us/arsenal-essentials-trefoil-tee/IK8712.html
37,Designed for Training Workout Tee,Silver Pebble S23,"This adidas training tee is ready for everything from cardio to weights. No matter how intense the workout, you'll stay dry and focused thanks to AEROREADY technology that wicks away moisture. The slim fit lets you move confidently through every push up and overhead press.   This product is made with at least 70% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Cloth/000079_1.jpg,"81% recycled polyester, 14% lyocell, 5% elastane single jersey",$35,5.0,https://www.adidas.com/us/designed-for-training-workout-tee/IS3817.html
38,Real Madrid 23/24 Long Sleeve Home Jersey,White,"For most soccer teams, winning is everything. For this one, it's part of a grander design. Like the club it represents, this adidas Real Madrid fan jersey stands for elegance and style. Dressed in their classic white colors and finished in gold details, it displays a ""¡Hala Madrid!"" signoff on the back neck. Moisture-wicking AEROREADY ensures you feel as assured as you look while you shout your support.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000081_1.jpg,100% recycled polyester tricot,$110,4.5,https://www.adidas.com/us/real-madrid-23-24-long-sleeve-home-jersey/IB0018.html
39,Tiro Suit-Up Advanced Track Jacket,Black / Black,"The Tiro jacket has been seen across stadiums and pitches across the world. It's now been reimagined as a lifestyle jacket. A sporty uniform, for all that you do.",Cloth/000082_1.jpg,"70% recycled polyester, 30% cotton",$30,4.2,https://www.adidas.com/us/tiro-suit-up-advanced-track-jacket/HY3785.html
40,Tiro 23 League Training Jacket,Black / Black,"Born for the beautiful game. Its soft fabric and stand-up collar make this adidas soccer jacket the perfect extra layer on the training pitch. Part of the Tiro 23 League range, it'll keep you dry and comfortable even when it's zipped all the way up, thanks to moisture-absorbing AEROREADY. Its slim, streamlined fit means you can keep it on when you're in the thick of the action.",Cloth/000085_1.jpg,100% recycled polyester doubleknit,$120,4.7,https://www.adidas.com/us/tiro-23-league-training-jacket/IJ8170.html
41,Essentials Single Jersey Big Logo Tee,Better Scarlet S23,"Whether you're throwing it on after the gym or getting ready to start the day, this adidas staple tee is calling your name. Made for comfort and easy style, the adidas Badge of Sport shines from the front putting your adidas pride on full display. Mix and match with every item in your closet — the classic sports vibe goes with any look.",Cloth/000088_1.jpg,100% cotton single jersey,$30,4.7,https://www.adidas.com/us/essentials-single-jersey-big-logo-tee/IC9352.html
42,Adicolor Outline Trefoil Tee,Preloved Ink S24,"Classics inspire, but this adidas tee reinvents. With a loose, casual fit and distressed details for a laid-back look, it lets you pair it with anything from joggers to jeans for maximum versatility. Comfort comes standard thanks to soft cotton jersey. Originals are meant to stand the test of time, and this tee is set to become your new everyday essential.   The cotton in this product has been sourced through Better Cotton. Better Cotton is sourced via a chain of custody model called mass balance. This means that Better Cotton is not physically traceable to end products.  Find out more here: https://bettercotton.org/who-we-are/our-logo/",Cloth/000090_1.jpg,100% cotton single jersey,$40,5.0,https://www.adidas.com/us/adicolor-outline-trefoil-tee/IR8002.html
43,City Escape Town Camo Long Sleeve Graphic Tee,Black,"Escape the everyday in this long sleeve tee from adidas. With a graphic on the front that celebrates exploration, this top brings an adventurous spirit to your downtime. Ribbing on the crewneck and cuffs keep the fit secure whether you're strolling city streets or hiking forest trails. A cotton single jersey build ensures lasting softness and comfort. When wanderlust strikes, this versatile staple has you covered.  The cotton in this product has been sourced through Better Cotton. Better Cotton is sourced via a chain of custody model called mass balance. This means that Better Cotton is not physically traceable to end products.  Find out more here: https://bettercotton.org/who-we-are/our-logo/",Cloth/000091_1.jpg,100% cotton single jersey,$40,5.0,https://www.adidas.com/us/city-escape-town-camo-long-sleeve-graphic-tee/IN6230.html
44,Two-Color Striped Polo Shirt,Grey Three / White,"Tee off in classic style. This adidas golf polo shirt has allover stripes that elevate your look on the course. The soft piqué fabric keeps you comfortable from first drive to final putt.   Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000092_1.jpg,100% recycled polyester piqué,$60,4.6,https://www.adidas.com/us/two-color-striped-polo-shirt/HR7983.html
45,Adicross Desert Tee,White,Perfect your drive at the range in this adidas golf t-shirt. The all-cotton fabric feels soft and comfy. Eye-catching graphics show off your love for the game.,Cloth/000094_1.jpg,100% cotton single jersey,$38,4.8,https://www.adidas.com/us/adicross-desert-tee/HS5617.html
46,Los Angeles Galaxy Marvel MLS Kick Childhood Cancer Pre-Match Jersey,Coll Royal C Ns-Sld / Multi,"Soccer assembles to help kick childhood cancer. Showing off a Marvel Avengers-inspired allover print, this adidas jersey will be worn pre-match by Los Angeles Galaxy players during Childhood Cancer Awareness Month. Displaying the campaign's gold-and-blue colors, it will keep you comfortable with moisture-wicking AEROREADY and soft interlock fabric.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000097_1.jpg,100% recycled polyester interlock,$65,4.6,https://www.adidas.com/us/los-angeles-galaxy-marvel-mls-kick-childhood-cancer-pre-match-jersey/IN3599.html
47,Adicross Mock Neck Polo Shirt,White,"Take your style, and your game, up a notch in this adidas golf polo shirt. Made of soft, lightweight fabric, it's got built-in stretch that lets you swing and flex comfortably. A contrast zip pocket on the lower back stashes extra tees and markers. The mock neck design delivers a modern look that wears well on and off the course.  Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000103_1.jpg,"88% recycled polyester, 12% elastane raschel",$150,5.0,https://www.adidas.com/us/adicross-mock-neck-polo-shirt/IB1975.html
48,Dill Eyes Jersey,Multicolor / Black,"Using imagination, wit and a strong point of view, Jason Dill's built a lasting legacy in skateboarding. The Dill Jersey mixes his signature aesthetics with classic soccer style, adding striking washes of color from one of his paintings along with custom Dill art on the back.   This jersey was made using UNITEFIT — an all-gender fit system that was created with a spectrum of sizes, genders and forms in mind. Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000104_1.jpg,100% recycled polyester doubleknit,$85,4.0,https://www.adidas.com/us/dill-eyes-jersey/IL3160.html
49,Dill Eyes Jersey,Multicolor / Black,"Using imagination, wit and a strong point of view, Jason Dill's built a lasting legacy in skateboarding. The Dill Jersey mixes his signature aesthetics with classic soccer style, adding striking washes of color from one of his paintings along with custom Dill art on the back.   This jersey was made using UNITEFIT — an all-gender fit system that was created with a spectrum of sizes, genders and forms in mind. Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000597_1.jpg,100% recycled polyester doubleknit,$85,4.0,https://www.adidas.com/us/dill-eyes-jersey/IL3160.html
50,Adi Jacquard Mock Polo Shirt,Arctic Night F23 / Wild Teal S21,"Step up your style when you step up to the tee. This adidas golf polo shirt has a mock-neck design that gives you a little extra coverage and a lot of extra cachet on the course. Stretchy jacquard lets you swing and bend freely. An allover 3 Bar Logo print finishes the look.   Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000106_1.jpg,100% recycled polyester jacquard,$110,4.7,https://www.adidas.com/us/adi-jacquard-mock-polo-shirt/IB1996.html
51,Ultimate365 Print Polo Shirt,White,"When you need a little extra edge to help you shoot low, pull on this adidas golf polo shirt and swing for the pin. The lightweight construction offers year-round comfort on the course, and built-in stretch lets you comfortably follow through on your swing. You'll get style points as you play through thanks to the allover marbled print.  Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000111_1.jpg,"88% recycled polyester, 12% elastane single jersey",$160,4.8,https://www.adidas.com/us/ultimate365-print-polo-shirt/HZ0444.html
52,Adicross Mock Neck Polo Shirt,Black,"Take your style, and your game, up a notch in this adidas golf polo shirt. Made of soft, lightweight fabric, it's got built-in stretch that lets you swing and flex comfortably. A contrast zip pocket on the lower back stashes extra tees and markers. The mock neck design delivers a modern look that wears well on and off the course.  Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000115_1.jpg,"88% recycled polyester, 12% elastane raschel",$110,5.0,https://www.adidas.com/us/adicross-mock-neck-polo-shirt/HZ3228.html
53,Melbourne Tennis HEAT.RDY Long Sleeve Tee,Multicolor / Black,"Part of an adidas collection that showcases a new approach to carbon recycling, this tee was built using yarn that includes captured industrial emissions. Created for the Southern Hemisphere's biggest tennis event, it incorporates HEAT.RDY to keep you cool during lightning-fast rallies and a FreeLift design that helps the back hem stay put during serves and smashes. Compressive sleeves provide support through the biggest hits.",Cloth/000121_1.jpg,"85% recycled polyester, 15% elastane interlock",$25,5.0,https://www.adidas.com/us/melbourne-tennis-heat.rdy-long-sleeve-tee/IC0842.html
54,Manchester United Tiro 23 Training Jersey,Team Coll Burgundy 2,"Pro-level performance and team pride in a single shirt. Created for the biggest games, this adidas Manchester United training jersey is designed to keep you comfortable while you're polishing your game. AEROREADY wicks moisture away from your skin, and the soft interlock fabric includes breathable mesh inserts under the arms. On the chest, a heat-transferred club badge shares your soccer fandom.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000123_1.jpg,100% recycled polyester interlock,$50,1.0,https://www.adidas.com/us/manchester-united-tiro-23-training-jersey/IA7245.html
55,Adicolor Trefoil Tee,White,"Classics redefined. This adidas tee reinvents casual style with a contemporary twist. Screenprinted with an iconic Trefoil logo, it signals your connection to the brand that shaped sport. Made for everyday wear, it keeps a classic fit in a soft cotton build that creates an effortless look. An essential piece to complete any outfit.   The cotton in this product has been sourced through Better Cotton. Better Cotton is sourced via a chain of custody model called mass balance. This means that Better Cotton is not physically traceable to end products.  Find out more here: https://bettercotton.org/who-we-are/our-logo/",Cloth/000124_1.jpg,100% cotton single jersey,$30,5.0,https://www.adidas.com/us/adicolor-trefoil-tee/IV5353.html
56,Club 3-Stripes Tennis Polo Shirt,White,"Style and performance for the tennis court. Part of the adidas Club collection, this polo shirt will keep you comfortable when you need to be on top of your game. Extra material under the arm ensures you have a full range of motion for booming forehands. Moisture-absorbing AEROREADY and breathable mesh panels keep you confident all the way to match point.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000127_1.jpg,100% recycled polyester interlock,$50,4.8,https://www.adidas.com/us/club-3-stripes-tennis-polo-shirt/HS3268.html
