,name_product,color,desc,cloth_path
11,Essentials Single Jersey Big Logo Tee,Black / White,"Whether you're throwing it on after the gym or getting ready to start the day, this adidas staple tee is calling your name. Made for comfort and easy style, the adidas Badge of Sport shines from the front putting your adidas pride on full display. Mix and match with every item in your closet — the classic sports vibe goes with any look.",Cloth/000016_1.jpg
12,Adicolor Classics Beckenbauer Track Jacket,Better Scarlet S23 / White,"Sometimes history just gets it right. Taken straight from the adidas archives, this signature track jacket nails a timeless look. An embroidered Trefoil logo adds a touch of pizzazz, and the supremely soft cotton blend makes it perfect for everyday wear. With a slim fit and full zip, it gives any outfit a dash of attitude. Our favorite part: the stand-up collar for that tailored vibe.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000018_1.jpg
13,LA Galaxy 22/23 Home Authentic Jersey,White / Dark Blue,"A clean, classic look for soccer royalty. This adidas LA Galaxy home authentic jersey keeps things simple with a white base and dark blue details. Standout details include quasars on the cuffs and an ""LA"" graphic on the back neck. The lightweight details, mesh panels and moisture-absorbing AEROREADY combine to keep you confident on the field.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000019_1.jpg
14,Messi Mural Tee,Black,"Showcase your excitement of Lionel Messi's arrival to Miami with this colorful and impactful tee. Inspired by the striking graffiti style art displayed around Miami, this tee truly welcomes Messi to the energetic city.",Cloth/000020_1.jpg
15,Real Madrid Anthem Jacket,Black / Preloved Yellow F23,"Their European pedigree needs no introduction, but those glory nights don't happen by chance. This adidas soccer jacket gives Real Madrid players a sense of unity before they play their biggest games. Cut for a slim fit and lined with soft mesh, its smooth plain weave fabric borrows the black-and-gold colors of the club's classy third kit. Moisture-wicking AEROREADY means this top is also pitch-ready.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000021_1.jpg
16,Argentina 22 Winners Home Jersey,White / Light Blue,"Dress like a champion! Throughout football history, those three blue stripes have stood for mesmerizing footwork and unrivalled commitment. For Argentina's latest home jersey, adidas returned to that winning look. Made for fans, it keeps things comfortable with smooth fabric and moisture-wicking AEROREADY. That champions badge and extra star over the crest confirm a memorable victory. A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000022_1.jpg
17,Adicolor Classics 3-Stripes Long Sleeve Tee,White,"When a classic gets reinvented, you know it's got staying power and signature style. Slip on this adidas long sleeve t-shirt and head out with high-contrast attitude. The iconic 3-Stripes and an embroidered Trefoil hint at retro vibes with a modern twist. The ribbed crewneck and cuffs keep things classic, through and through.",Cloth/000023_1.jpg
18,Yoga Training Tank Top,White / Carbon,"Feel the flow as you power through your poses in this adidas sleeveless t-shirt. It manages moisture with AEROREADY so you stay dry and comfortable to the end of class or practice at home. Soft fabric encourages freedom of movement, and a slim fit stays close to you no matter how you bend or stretch.   This tank top is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000024_1.jpg
19,Dill Eyes Short Sleeve Tee,Black,"Using imagination, wit and a strong point of view, Jason Dill's built a lasting legacy in skateboarding. The Dill Eyes Short Sleeve Tee mixes his signature collage aesthetics and subversive approach with 3-Stripes iconography.   We partner with Better Cotton to improve cotton farming globally. Better Cotton makes global cotton production better for the people who produce it, better for the environment it grows in, and better for the sector's future.    Better Cotton is sourced via a chain-of-custody model called mass balance. This means that Better Cotton is not physically traceable to end products. However, Better Cotton Farmers benefit from the demand for Better Cotton in equivalent volumes to those we ""source.""   Find out more here: bettercotton.org/learnmore",Cloth/000025_1.jpg
20,Designed for Training HEAT.RDY HIIT Training Tank Top,Black,"When it's the weather or your workout heating up, this adidas tank top lets you keep your cool. It's made with HEAT.RDY for a cool touch that absorbs moisture so you stay in the zone. Mesh ventilation adds even more breathability, and the anti-cling fabric won't stick to you for distraction-free comfort. Heading out at night? No problem. Reflective details shine bright.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000026_1.jpg
21,Arsenal Tiro 23 Training Jersey,Pulse Blue,"Smart coaching and hard work can solve every soccer problem. But it also helps to have comfortable, movement-focused adidas gear to pull on at the training ground. This Arsenal training jersey keeps players confident and comfortable during sessions with moisture-wicking AEROREADY, mesh inserts and a slim fit. A heat-transferred badge on the chest is a reminder to keep your standards high.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000027_1.jpg
22,Messi #10 Inter Miami CF 23/24 Away Authentic Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this Inter Miami CF authentic jersey from adidas enchants with pink details and an undulating graphic. Created to keep soccer players at full speed, it combines lightweight fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto.",Cloth/000029_1.jpg
23,Designed for Training HEAT.RDY HIIT Training Tank Top,White,"When it's the weather or your workout heating up, this adidas tank top lets you keep your cool. It's made with HEAT.RDY for a cool touch that absorbs moisture so you stay in the zone. Mesh ventilation adds even more breathability, and the anti-cling fabric won't stick to you for distraction-free comfort. Heading out at night? No problem. Reflective details shine bright.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000030_1.jpg
24,Go-To Polo Shirt,White Melange,"Arrive at the first tee ready to play your best. This adidas golf polo shirt has a soft cotton feel with plenty of stretch to let you swing and flex without restriction. AEROREADY wicks moisture to keep you dry through your final putt, so you look and feel fresh when you head to the clubhouse.   Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000031_1.jpg
25,LA Galaxy 22/23 Home Jersey,White / Dark Blue,"A clean, classic look for soccer royalty. This adidas LA Galaxy home jersey keeps things simple with a white base and dark blue details. Standout details include quasars on the cuffs and an ""LA"" graphic on the back neck. The mesh panels and moisture-absorbing AEROREADY are all about keeping fans comfortable in their colors.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000032_1.jpg
26,Tiro Track Top,Black,"Mingling with the game day crowds or just meeting up with friends, this adidas Tiro track top makes a comfortable outer layer. Soft, lightweight and cut for a relaxed fit, it zips up easily over a long sleeve tee or sweater. Stow your phone, cards and keys, and you're ready to hit the street or the stands.   Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000034_1.jpg
27,Messi #10 Inter Miami CF 23/24 Away Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this adidas Inter Miami CF away jersey enchants with pink details and an undulating graphic. Created to keep soccer fans comfortable, it combines smooth fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000035_1.jpg
28,Atlanta United FC 22/23 Away Jersey,Clear Mint / Team Dark Green,"Celebrate the city in the forest. This adidas Atlanta United FC away jersey takes inspiration from Atlanta's leafy skyline with green shades and a geometric design that's steeped in soccer history. Made to keep fans comfortable, it includes moisture-wicking AEROREADY and mesh panels.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000036_1.jpg
29,Ducks Anniversary Jersey,Eggplant 45 Ccm,"Wild Wing, the mascot of the inaugural 1993 Mighty Ducks hockey team, takes to the frozen pond again on this Anaheim Ducks 30th anniversary jersey. AEROREADY keeps you dry as you watch the Ducks channel his daredevil attitude and flock to the front of the opponent's net in search of a game-winning goal.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000037_1.jpg
30,Rangers Fleece Top,Team Navy / White / Multi,Arrive early at the arena and take in a New York Rangers pregame skate or go for one of your own in this adidas hockey pullover. The thick fleece will keep you toasty until the action on the ice or your workout heats up. Laser-cut vents out back ensure you stay ventilated.,Cloth/000038_1.jpg
31,Ultimate Long Sleeve Tee,Shadow Violet F23,"This adidas long sleeve running t-shirt makes chilly-weather workouts feel better. It layers comfortably under a jacket thanks to the slim fit, or you can wear it on its own. Either way, it keeps you warm with its mock-neck design and thumbhole cuffs. Moisture-wicking AEROREADY helps you stay dry, and mesh on the sleeves and sides adds a breathable feel to every mile.  Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000039_1.jpg
32,Adicolor Classics 3-Stripes Tee,Better Scarlet S23,Meet your new favorite tee. This classic adidas t-shirt boasts a slim fit and a contrast hem for some refined vintage vibes. Pair it with your favorite dark denim for an effortlessly classic look. It's made of super-soft cotton to keep you comfortable.  Our cotton products support more sustainable cotton farming.,Cloth/000040_1.jpg
33,Inter Miami CF 22/23 Home Jersey,True Pink / Black,"Proud to represent. In 22/23, pink dominates Inter Miami CF's home kit for the first time. Teamed with a polo collar, the ocean sunset hues help this adidas soccer jersey shine. Created with fans in mind, its mesh inserts and moisture-absorbing AEROREADY will keep you as relaxed as an evening on the beach.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000041_1.jpg
34,Arsenal DNA Track Top,Collegiate Navy,"Show you're a Gunner through and through. A woven club badge takes pride of place on the chest of this adidas Arsenal track top. Ideal for zipping up over your soccer jersey, it'll keep you comfortable with soft fabric.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000042_1.jpg
35,Messi #10 Inter Miami CF 22/23 Home Jersey,True Pink / Black,"Proud to represent. In 22/23, pink dominates Inter Miami CF's home kit for the first time. Teamed with a polo collar, the ocean sunset hues help this adidas soccer jersey shine. Created with fans in mind, its mesh inserts and moisture-absorbing AEROREADY will keep you as relaxed as an evening on the beach. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000043_1.jpg
36,Houston Dynamo 22/23 Away Jersey,Carbon / Black,"A reflection of Houston's remarkable landscape. This adidas Houston Dynamo soccer jersey incorporates the region's patchwork of meandering bayous into its tonal design. Created to keep fans comfortable, it fields moisture-wicking AEROREADY and breathable mesh panels. Silver detailing and a ""Bayou City"" jock tag signoff stand out against the dark colors.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000044_1.jpg
37,Adicolor Woven Firebird Track Top,Blue Bird,"This adidas track top ushers in a new era of casual style. A reimagined classic, it features a loose, relaxed silhouette for an easygoing vibe whether lounging or on the go. Subtle branding provides an understated nod to adidas' athletic heritage. Wear it for errands around town or layered over your favorite tee—this versatile essential will fast become your go-to for laid-back comfort and style.",Cloth/000045_1.jpg
38,Simple Goat Tee,Black,Celebrate Lionel Messi in this soft adidas tee with a classic design. The iconic goat represents the greatest of all time soccer player with Argentinian inspired colors.,Cloth/000046_1.jpg
39,Designed for Training Tee,Black,"Whether you're going after that extra rep in the gym, or fitting in a quick session at home, the Designed for Training Tee will help you make it count.    Lift, pull, and push your limits, fully supported by dynamic cutlines and stretchy elastane to enable freedom of movement in upper body strength training. Using sweat wicking or absorbent materials, adidas AEROREADY products keep you feeling dry as you move. No matter how you choose to work up a sweat.   The attention to detail means comfort is high on the agenda, with tactical seam placement on the shoulders, arms and side body to prevent chafing. The unique lift panel will help you reach your gains without restriction, alongside robust fabric designed to take on whatever you're up against. A unique placement of the iconic adidas logo adds the finishing touch.",Cloth/000047_1.jpg
40,Inter Miami CF 23/24 Away Authentic Jersey,Black,"When darkness descends, Miami lights up. Inspired by Magic City's glittering waterfront, this Inter Miami CF authentic jersey from adidas enchants with pink details and an undulating graphic. Created to keep soccer players at full speed, it combines lightweight fabric and moisture-wicking AEROREADY. The back neck signoff displays the team's aspirational motto.",Cloth/000048_1.jpg
41,Tiro Wordmark Track Jacket,Black,"No matter where your day finds you, comfort is key to feeling good as you move through it. This adidas jacket made with moisture-absorbing AEROREADY will keep you dry, comfortable and ready for whatever you've got planned. The full zip and stand-up collar give you versatility and a cozy feel, and front zip pockets hold what you need to carry on with your daily routine.    Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000049_1.jpg
42,Real Madrid DNA Track Top,White,"Real Madrid is in your DNA. Make sure everyone knows where you stand in this adidas soccer track top. It's made of smooth tricot fabric to keep you comfortable all day long. The embroidered crest lets everyone know you're a true fan.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000050_1.jpg
43,Messi Tee,Black / Mls-Mif-37p,"Messi and Miami. The perfect match. Displaying soccer superstar Lionel Messi's logo and number, this adidas tee is ready for kickoff. Perfect for watching his jaw-dropping play or for hanging out with friends, it's built with single jersey fabric for day-long comfort.",Cloth/000051_1.jpg
44,Adicolor Contempo Tee,Black,"Get yourself a t-shirt with all of the good stuff. We're talking premium organic cotton, casual good looks and iconic adidas style. This tee is so simple you can wear it with anything, and so comfortable that you'll want to wear it with, well, everything.  This tee is made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Cloth/000053_1.jpg
45,Oasis Mesh Polo Shirt,White,"From the first tee through the back nine, you'll feel as good as you look in this adidas golf polo shirt. It's made of soft, stretchy mesh fabric for a lightweight, breathable feel. The oasis-inspired allover print stands out on the course.   Made with a series of recycled materials, and at least 70% recycled content, this product represents just one of our solutions to help end plastic waste.",Cloth/000054_1.jpg
46,Golden Knights Fleece Top,Storm / Black / Nhl-Lvs-5vd,Arrive early at the arena and take in a Vegas Golden Knights pregame skate or go for one of your own in this adidas hockey pullover. The thick fleece will keep you toasty until the action on the ice or your workout heats up. Laser-cut vents out back ensure you stay ventilated.,Cloth/000055_1.jpg
47,Essentials Warm-Up 3-Stripes Track Jacket,Black / Black,"It's called a warm-up jacket for a reason. The perfect layer to get your mind and muscles ready, this adidas jacket is made from classic sport tricot for a smooth look and feel. Ribbed details help it stay in place. The full zip makes it easy to take off once you're in the zone and pull right back on when it's time to head out. The sleek layer isn't limited to your workout though. 3-Stripes are all about versatility.",Cloth/000056_1.jpg
48,Sunny GOAT Graphic Tee,Black / Mls-Mif-3aj,"Celebrate Lionel Messi's arrival to Miami in this adidas tee. Keeping you comfortable in soft single jersey, it displays a striking reference to soccer's G.O.A.T. on the front. Detailed with Messi's logo and pink accents.",Cloth/000058_1.jpg
49,Tiro Wordmark Track Jacket,Black / White,"No matter where your day finds you, comfort is key to feeling good as you move through it. This adidas jacket made with moisture-absorbing AEROREADY will keep you dry, comfortable and ready for whatever you've got planned. The full zip and stand-up collar give you versatility and a cozy feel, and front zip pockets hold what you need to carry on with your daily routine.    Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000059_1.jpg
50,Arsenal 23/24 Long Sleeve Home Jersey,Better Scarlet S23 / White,"They say lightning never strikes twice. And 20 years on, the Gunners remain the only club to finish an English top-flight soccer season undefeated. This adidas Arsenal jersey celebrates a unique anniversary with lightning bolts and gold details. Created for supporters, it'll keep you covered and comfortable with long sleeves and moisture-wicking AEROREADY. An embroidered badge completes the eye-catching look.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000060_1.jpg
51,Z.N.E. Premium Full-Zip Hooded Track Jacket,Arctic Night F23,"Between the hustle and grind is that moment of rest. It's a mental place where you power down and regain balance. This adidas full-zip hoodie was designed to help you get there. Premium four-way stretch material offers ultimate comfort, and moisture-absorbing AEROREADY ensures you stay dry. A Z.N.E. graphic on the back signs off the look. Now throw on some headphones and enjoy the moment of Zen.  A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000061_1.jpg
52,Messi #10 Inter Miami CF 22/23 Home Authentic Jersey,True Pink / Black,"A tribute to Inter Miami CF's beating heart. All in pink for the first time, this home authentic jersey salutes the fans with heartbeat-style graphics on the cuffs and jocktag signoff. The polo collar and piqué fabric combo further quicken the pulse. Moisture-absorbing AEROREADY and lightweight details help you find your soccer rhythm on the pitch. Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000062_1.jpg
53,Go-To Henley Polo Shirt,Collegiate Navy,"When the pressure is on to drive it straight or sink that birdie putt, stay cool and confident in this adidas golf shirt. The cotton-blend brrr° knit has a triple chill effect thanks to cooling minerals, moisture-wicking fibers and a quick-drying feel that keeps you comfortable as you swing. It's blended with cotton to feel super-soft against your skin, with plenty of stretch for all your moves.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000063_1.jpg
54,Pride Pre-Match Jersey,White,"Let love be your legacy. South African designer Rich Mnisi once wrote that reminder in a handwritten letter to his younger queer self, and today it thrives at the core of the adidas x Rich Mnisi Pride Collection. A celebration of self-expression, imagination and the unwavering belief that love unites, the collaboration explores fluidity, color and patterns. This partnership is one part of our effort to honor the LGBTQIA+ community alongside our Global Purpose partner Athlete Ally.  Stand out exactly how you are in this soccer jersey. It comes complete with a streamlined, slim fit and moisture-wicking AEROREADY.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000065_1.jpg
55,ALL SZN Tee,Legend Ivy,"This clean, minimalist adidas tee is the perfect shirt to relax in after a long day, or to pair with any bottoms for a casual look. Its loose, versatile fit makes it a great blank canvas for any adventure the day takes you on. The super-soft cotton single jersey build holds up to regular wear.",Cloth/000066_1.jpg
56,Z.N.E. Premium Full-Zip Hooded Track Jacket,White,"Between the hustle and grind is that moment of rest. It's a mental place where you power down and regain balance. This adidas full-zip hoodie was designed to help you get there. Premium four-way stretch material offers ultimate comfort, and moisture-absorbing AEROREADY ensures you stay dry. A Z.N.E. graphic on the back signs off the look. Now throw on some headphones and enjoy the moment of Zen.  A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000067_1.jpg
57,Messi Wordmark Tee,White / Mls-Mif-3am,Pay tribute to the greatest player of all time in this adidas performance tee with the Messi wordmark on the center front and his logo proudly displayed on the left chest.,Cloth/000068_1.jpg
58,Bienvenido A Miami Tee,White / Mls-Mif-37s,Relax in this classic Messi graphic tee that welcomes the greatest player of all time to Miami. This tee has all the details with the Messi logo and #10 included.,Cloth/000069_1.jpg
59,Train Essentials Feelready Training Tee,Dark Grey Heather / White / Black,"From push press to push-ups, move through a full range of motion in this adidas training t-shirt. It's cut to allow your arms to move freely overhead. Breathable fabric and moisture-absorbing AEROREADY keep you dry and comfortable as your heart rate rises.",Cloth/000071_1.jpg
60,Textured Jacquard Golf Polo Shirt,Olive Strata / Black,"A clean look makes for a clean execution. This adidas golf polo shirt has a textured design with subtle style for the course. It's made of breathable, moisture-wicking fabric to keep you comfortable as you swing or walk those long stretches on the fairway.",Cloth/000072_1.jpg
61,adidas x Bogey Boys Full-Zip Track Jacket,Altered Blue S22,"Zip up for chilly rounds in this adidas x Bogey Boys golf jacket. Layer it over a polo or tee for cozy comfort on the course. The ribbed cuffs and hem seal in warmth, and front pockets keep your hands toasty between shots. The casual track jacket look gets a boost of style from the Trefoil and the Bogey Boys logo, which deliver a winning look on and off the course.   A minimum of 70% of this product is a blend of recycled and renewable materials.",Cloth/000073_1.jpg
62,Real Madrid 23/24 Long Sleeve Away Jersey,Legend Ink,"Flowing across the front of this adidas away jersey, repeating infinity symbols speak to Real Madrid fans' never-ending passion for their club. Created to keep those loyal supporters comfortable, this shirt includes moisture-absorbing AEROREADY and breathable mesh panels. Three-color 3-Stripes running down the long sleeves and a premium embroidered team badge on the chest add an abundance of soccer style.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000076_1.jpg
63,New York Red Bulls Americana Pre-Match Jersey,S2s Legend Ink / Multi,"Defend your soccer colors. New York Red Bulls players pull on this adidas jersey before making their final pre-game preparations. Created to be worn during MLS Independence Day celebrations, it catches the eye with an allover design inspired by Captain America's shield. Soft interlock fabric and moisture-wicking AEROREADY team up to keep you comfortable.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000077_1.jpg
64,Arsenal Essentials Trefoil Tee,Collegiate Navy / Tribe Yellow,"Celebrate your favorite club in vintage adidas soccer style. This Arsenal tee keeps things classic with its crisp design and embroidered Trefoil. Whether you're going to the match or just chilling with friends, it'll keep things casual and comfortable thanks to its soft cotton construction. A Gunners badge on the front and team name on the back show your commitment in the here and now.",Cloth/000078_1.jpg
65,Designed for Training Workout Tee,Silver Pebble S23,"This adidas training tee is ready for everything from cardio to weights. No matter how intense the workout, you'll stay dry and focused thanks to AEROREADY technology that wicks away moisture. The slim fit lets you move confidently through every push up and overhead press.   This product is made with at least 70% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Cloth/000079_1.jpg
66,Houston Dynamo 22/23 Away Authentic Jersey,Carbon / Black,"A reflection of Houston's remarkable landscape. This adidas Houston Dynamo authentic jersey incorporates the region's patchwork of meandering bayous into its tonal design. Created for fast-moving soccer, it fields lightweight, heat-applied crests and 3-Stripes and moisture-wicking AEROREADY. Silver detailing and an ""H-Town hold it down"" signoff stand out against the dark colors.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000080_1.jpg
67,Real Madrid 23/24 Long Sleeve Home Jersey,White,"For most soccer teams, winning is everything. For this one, it's part of a grander design. Like the club it represents, this adidas Real Madrid fan jersey stands for elegance and style. Dressed in their classic white colors and finished in gold details, it displays a ""¡Hala Madrid!"" signoff on the back neck. Moisture-wicking AEROREADY ensures you feel as assured as you look while you shout your support.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000081_1.jpg
68,Tiro Suit-Up Advanced Track Jacket,Black / Black,"The Tiro jacket has been seen across stadiums and pitches across the world. It's now been reimagined as a lifestyle jacket. A sporty uniform, for all that you do.",Cloth/000082_1.jpg
69,Real Madrid Tiro 23 Training Jersey,Spark S24,"Elegance. Some players have it, some don't. But at Real Madrid, it's an essential requirement. Created to help the club's superstars polish their skills, this adidas soccer training jersey fits slim so it stays out of your way when you're at top speed. Mesh panels and moisture-wicking AEROREADY combine to keep you fresh and ready for the next session.  Made with 100% recycled materials, this product represents just one of our solutions to help end plastic waste.",Cloth/000083_1.jpg
70,Made To Be Remade Henry Neck Seamless Shirt,White / Semi Impact Orange F22,"Look and feel your best on the course in this adidas golf shirt. The seamless design ensures comfortable movement, from long drives down the fairway to pressure putts from the edge of the green. A one-button low collar and embroidered details deliver classy style.",Cloth/000084_1.jpg
71,Tiro 23 League Training Jacket,Black / Black,"Born for the beautiful game. Its soft fabric and stand-up collar make this adidas soccer jacket the perfect extra layer on the training pitch. Part of the Tiro 23 League range, it'll keep you dry and comfortable even when it's zipped all the way up, thanks to moisture-absorbing AEROREADY. Its slim, streamlined fit means you can keep it on when you're in the thick of the action.",Cloth/000085_1.jpg
72,Techfit Training Tee,Olive Strata,"Cardio to arm day, this adidas base layer t-shirt will help you power through. Break your personal records in total comfort thanks to mesh on the upper back, where you need it most, and moisture-absorbing AEROREADY. Everything about this tee is made so you can move freely, like a dynamic shape and super-stretchy fabric.",Cloth/000086_1.jpg
73,Performance Primegreen Polo Shirt,Collegiate Navy,"Shoot for the green in comfort and elevated style in this adidas golf polo shirt. Follow through on each stroke with a distraction-free fit, from the first drive to the final putt. Head for the clubhouse feeling fresh and ready for whatever comes next.  This product is made with Primegreen, a series of high-performance recycled materials.",Cloth/000087_1.jpg
74,Essentials Single Jersey Big Logo Tee,Better Scarlet S23,"Whether you're throwing it on after the gym or getting ready to start the day, this adidas staple tee is calling your name. Made for comfort and easy style, the adidas Badge of Sport shines from the front putting your adidas pride on full display. Mix and match with every item in your closet — the classic sports vibe goes with any look.",Cloth/000088_1.jpg
75,LM Varsity Tee,Black,This eye-catching graphic gives a nod to Lionel Messi's roots. Sport this retro style tee with classic Argentinian inspired colors that will be sure to stand the test of time.,Cloth/000089_1.jpg
76,Adicolor Outline Trefoil Tee,Preloved Ink S24,"Classics inspire, but this adidas tee reinvents. With a loose, casual fit and distressed details for a laid-back look, it lets you pair it with anything from joggers to jeans for maximum versatility. Comfort comes standard thanks to soft cotton jersey. Originals are meant to stand the test of time, and this tee is set to become your new everyday essential.   The cotton in this product has been sourced through Better Cotton. Better Cotton is sourced via a chain of custody model called mass balance. This means that Better Cotton is not physically traceable to end products.  Find out more here: https://bettercotton.org/who-we-are/our-logo/",Cloth/000090_1.jpg
